"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","财政补贴","列席会议","冶金","近岸","流感","推介","工程","牛栏","经济","引水","突发性","区域","增长","劳动合同"
"2","侵害","红","同城化","萌芽","鼓舞","格局","坚定性","稳步增长","社会","无公害","周边地区","特别","重点","党政"
"3","四小","数据中心","反恐","建筑业","特别是在","崇尚","撤地","集","工作","镇雄","武警官兵","工程建设","改革","四化"
"4","机构编制","督察","演出","风电场","比重","学科专业","七届","锦标赛","提高","同价","初次","我国","工程","含"
"5","啤酒花","南昌大学","首届","变为","优越性","教育资源","铜鼓","反哺","企业","食用菌","坚守","新一轮","就业","许可法"
"6","第二条","阅读","来信","创造性地","公用事业","一村","支柱产业","操作","政府","均居","纺织工业","十三","支持","中游"
"7","主辅","二三","个村","船舶","拍卖","载体","共有","流失","实施","协调性","临空","一期","亿元","挤占"
"8","文化产业","气化","投资总额","前移","样板","作品","高等级","粮食作物","农村","军政","国际友人","县级","农业","万吨"
"9","过剩","弊端","舒适","复明","刺激","再","路子","保留","项目","牢","请予","电厂","工作","东盟自由贸易区"
"10","治沙","一条龙","竞相","走低","于民","广西大学","高原","二产","制度","抚","矿","旅游业","城市","现代农业"
