"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","已","政策","财政","楼堂馆所","后发","清零","发扬","紧扣","收购","""改善","经济"
"2","沙","保障","勤劳","逐年","肉羊","打击犯罪","干预","学科建设","边境","不利","工作"
"3","省院","解决","报销","联防","快速"",","兴新","部","城市道路","量力而行","控制"",","增长"
"4","公安","力争","医疗器械","""大力发展","呼伦湖","一心一意","和谐社区","重复","
""综合","三证","社会"
"5","稳中有","民族","政法","年来","零的突破","园区"",","反恐","实训","老城区","贯彻执行","重点"
"6","银","改造","""生态建设","能源建设","大楼","组织协调","拼搏","持平","""十一五","台湾","改革"
"7","必","人均","当地","事后","维修","备案制","煤制气","紧日子","专家学者","百姓","企业"
"8","后续","各项","相比","电价","矿业权","失职","主旋律","花山","处置","深化改革","提高"
"9","线路","作用","光电","增效益","后勤","访","放映","位置","军民团结"",","截污","农村"
"10","公共交通","依法","珍惜","优势"",","美元","初心","以工","锡盟","打基础","违反","实施"
